1) Gender,2) Age,3) Academic degree,4) Main field of research,6) Do you work\study only in the academia? ,"7) How many years have passed since your first academic publication (i.e., academic age)",8) Current affiliation's country ,"9) Based on the last 5 years, on average, how many research projects do you involved in, at the same time? ",10) How many academic papers did you publish with one or more co-author(s) other than your advisor(s)? ,"11) How many solo (i.e., you are the only author) papers did you publish? ",12) How many advisors did you have during your master's studies?,13) How many papers you published during your Masters with your advisor(s)? ,14) How many advisors did you have during your Ph.D. studies?,15) How many papers you published during your Ph.D. studies with your advisor(s)? ,16) How many years your (main) master's advisor is/was older than you?,17) What is/was your master's advisor academic title?,18) What is/was your (main) master's advisor's gender?,19) Did you have a conflict about credit distribution in a paper with your Master's advisor(s)?,20) How many years your (main) Ph.D.'s  (or MD)   advisor is/was older than you?,21) What is/was your (main) Ph.D. (or MD) advisor's gender?,22) Did you have a conflict about credit distribution in a paper with your Ph.D.  (or MD) advisor(s)?,23) What is/was your Ph.D.'s (or MD) advisor academic title?,24) Did you have a conflict about credit distribution in a paper with your peers?,25) Did you add someone to a paper without him\her contributing at all (or not enough to be named an author)? ,26) How often do you ask authors to cite you as part of a review process?,27) How often do you cite your colleagues even when the citation is not entirely scientifically warranted?,"28) How often a co-author raise demands or claims to get more credit in a paper, usually with a treat of delaying the paper's submission/publication?",29)  How many times do you update a papers' authors list based on co-authors' demands and NOT BASED ON CHANGES IN THE CONTRIBUTION of the authors?,5) Second field of research (if any),30) How often do you have to demand to get more credit for you work in a research?
Male,36-45,Professor,Computer Science (CS),Yes,6-9,Turkey,1,2-5,1,1,1,3,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Computer Science (CS),Rarely
Male,26-35,Third (Ph.D. \ MD),Economics,No,3-5,New Zealand,2,2-5,0,2,1,1,2,20-40,Prof.,Male,Yes,10-20,Male,No,Dr.,Yes - They were from the same *institute* as I am,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,46-55,Professor,Psychology,No,20+,Iceland,2,5-10,10+,1,0,1,1,20-40,Prof.,Female,No,20-40,Female,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Literature,Yes,10-20,Austria,1,2-5,10+,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,,Rarely
Female,56-65,Professor,Nano/Micro science,Yes,10-20,Canada,4,10+,2-5,2,2,2,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Mechanical engineering,Yes,6-9,Germany,3,5-10,0,1,0,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,18-25,Second (Master),Economics,No,1-2,Denmark,1,0,0,1,2,,,,,Male,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Professor,Physics,Yes,10-20,France,3,10+,2-5,2,1,1,2,10-20,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Process/Chemical engineering,Yes,6-9,Norway,3,5-10,0,1,1,1,3,10-20,Dr.,Male,Yes,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,56-65,Professor,Boundary medicine,No,20+,United Kingdom,4,10+,5-10,2,1,2,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Female,56-65,Professor,Law,Yes,20+,United States,3,10+,5-10,2,2,1,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Often,,Never
Female,26-35,Third (Ph.D. \ MD),Management,No,3-5,Belgium,2,2-5,1,1,0,2,4,10-20,Dr.,Female,No,10-20,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Economics,Never
Male,36-45,Third (Ph.D. \ MD),Genome science,Yes,10-20,Austria,3,10+,0,1,0,2,4,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Female,26-35,Second (Master),Applied physics,No,3-5,Ukraine,1,0,0,2,1,,,,,Male,Yes,20-40,Male,,,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Often,,Never
Male,26-35,Third (Ph.D. \ MD),Chemistry,Yes,6-9,Russian Federation,2,5-10,1,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,,No,No,When in the general scope of the work,Only when absolutely relevant and warranted,Rarely,Often,,Never
Female,26-35,Third (Ph.D. \ MD),Biological Science,Yes,6-9,Canada,2,5-10,0,1,0,1,3,10-20,Dr.,Female,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,,Never
Male,66+,Professor,Anthropology,Yes,20+,Colombia,5+,10+,10+,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Civil engineering,Yes,10-20,Russian Federation,3,10+,2-5,1,1,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,46-55,Professor,Agricultural science in society and economy,No,20+,Russian Federation,3,10+,5-10,2,2,2,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,18-25,Second (Master),Mathematics,Yes,1-2,Greece,1,1,0,1,1,,,,,Male,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Politics,Yes,3-5,Czech Republic,1,2-5,0,1,1,2,3,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Rarely
Male,56-65,Professor,Physics,Yes,20+,France,4,10+,5-10,2,1,2,5+,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Management,Rarely
Male,26-35,Third (Ph.D. \ MD),Material engineering,Yes,6-9,Poland,3,5-10,1,2,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Pharmacy,No,10-20,Hungary,2,10+,2-5,1,0,1,4,10-20,Dr.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Female,56-65,Professor,Oncology,Yes,20+,United Kingdom,5+,10+,10+,1,1,2,5+,10-20,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,,Never
Male,36-45,Professor,Economics,Yes,10-20,Finland,3,10+,5-10,2,2,1,3,20-40,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Mathematics,Never
Female,26-35,Third (Ph.D. \ MD),Neuroscience,Yes,20+,New Zealand,3,10+,2-5,1,1,2,4,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Mechanical engineering,Yes,3-5,Netherlands,2,2-5,0,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Nano/Micro science,Yes,20+,Canada,4,10+,2-5,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Computer Science (CS),Yes,3-5,Austria,2,2-5,0,2,1,1,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Rarely
Male,36-45,Third (Ph.D. \ MD),Computer Science (CS),Yes,10-20,Israel,3,10+,0,1,1,2,5+,20-40,Prof.,Male,Yes,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Rarely
Male,26-35,Second (Master),Physics,Yes,1-2,Israel,2,2-5,0,1,1,,,20-40,Prof.,Male,No,,,,,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Chemistry,Never
Male,26-35,Third (Ph.D. \ MD),Neuroscience,Clinical work,6-9,Canada,5+,10+,0,3+,3+,No phd,0,5-10,Dr.,Male,No,5-10,Male,No,Dr.,No,Yes,Only when absolutely relevant and warranted,When in the general scope of the work,Rarely,Rarely,Informatics,Rarely
Female,26-35,Third (Ph.D. \ MD),Material engineering,Yes,1-2,Czech Republic,3,2-5,2-5,1,1,2,4,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,Chemistry,Often
Female,26-35,Second (Master),Physics,Yes,1-2,Belgium,2,2-5,0,2,1,2,1,5-10,Prof.,Female,Yes,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Nano/Micro science,Rarely
Female,26-35,Third (Ph.D. \ MD),Physics,Yes,3-5,Belgium,5+,5-10,0,2,0,3,5+,40+,Prof.,Male,No,40+,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",When in the general scope of the work,Rarely,Rarely,,Never
Male,18-25,Second (Master),Chemistry,No,0,Serbia,1,2-5,0,2,2,,,20-40,Prof.,Female,No,,,,,No,Yes,Only when absolutely relevant and warranted,When in the general scope of the work,Never,Rarely,Physics,All the time
Female,26-35,Second (Master),Chemistry,Yes,1-2,Spain,2,1,0,1,0,3,0,10-20,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,Civil engineering,Rarely
Female,36-45,Third (Ph.D. \ MD),Biological Science,Yes,10-20,Bolivia,3,10+,1,2,1,1,3,10-20,Dr.,Female,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Material engineering,Never
Male,26-35,Third (Ph.D. \ MD),Management,No,6-9,Czech Republic,2,5-10,0,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Economics,Never
Male,46-55,Professor,Genome science,Yes,20+,China,5+,10+,5-10,1,0,1,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Architecture and building engineering,No,6-9,Germany,1,5-10,1,1,0,1,2,20-40,Prof.,Male,Yes,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Rarely
Male,46-55,Third (Ph.D. \ MD),Nano/Micro science,Yes,10-20,Angola,2,5-10,5-10,1,1,1,1,10-20,Prof.,Male,Yes,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Nano/Micro science,Yes,3-5,Belgium,3,0,0,1,1,2,5+,5-10,Dr.,Male,No,5-10,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Mechanical engineering,Rarely
Female,18-25,Second (Master),Psychology,Yes,1-2,Cyprus,1,0,0,1,1,,,20-40,Prof.,Female,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,66+,Professor,Mechanical engineering,Yes,20+,Russian Federation,5+,10+,10+,1,1,1,4,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Often,Architecture and building engineering,Rarely
Male,26-35,Third (Ph.D. \ MD),Literature,Yes,3-5,United Kingdom,1,1,2-5,1,0,1,2,10-20,Dr.,Female,No,20-40,Male,Yes,Prof.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Female,36-45,Third (Ph.D. \ MD),Mechanical engineering,Yes,6-9,Austria,3,5-10,2-5,2,1,1,3,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,56-65,Professor,Chemistry,Yes,20+,Poland,5+,10+,5-10,1,2,2,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Often,,Rarely
Male,26-35,Third (Ph.D. \ MD),Neuroscience,Yes,3-5,Denmark,3,2-5,0,2,1,1,2,10-20,Dr.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,36-45,Professor,Biological Science,No,10-20,Peru,5+,10+,5-10,2,1,2,2,20-40,Prof.,Male,Yes,20-40,Female,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Professor,Environmental science,Yes,20+,China,5+,10+,10+,1,1,1,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Female,36-45,Third (Ph.D. \ MD),Law,No,10-20,Bulgaria,2,10+,2-5,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Female,36-45,Third (Ph.D. \ MD),Literature,Yes,10-20,Ukraine,2,2-5,5-10,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,46-55,Professor,Genome science,No,20+,United Kingdom,3,10+,2-5,2,2,1,4,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,46-55,Professor,Management,Yes,10-20,Denmark,3,10+,2-5,1,0,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Female,26-35,Third (Ph.D. \ MD),Nano/Micro science,Yes,10-20,Poland,3,10+,5-10,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,46-55,Professor,Basic medicine,No,10-20,Jordan,3,10+,2-5,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,Society medicine,Never
Female,36-45,Third (Ph.D. \ MD),Sociology,Yes,6-9,Austria,3,5-10,5-10,1,1,1,3,5-10,Dr.,Male,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,66+,Professor,Social sciences,No,20+,Egypt,5+,10+,5-10,1,1,1,3,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Often,,Never
Female,46-55,Professor,Process/Chemical engineering,No,20+,Russian Federation,5+,10+,2-5,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Physics,Yes,3-5,Bulgaria,4,5-10,0,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,56-65,Professor,Economics,No,20+,China,5+,10+,10+,1,1,1,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,36-45,Third (Ph.D. \ MD),Philosophy,Yes,6-9,Switzerland,1,2-5,5-10,1,0,1,2,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Physics,Yes,6-9,France,3,5-10,1,2,1,1,3,10-20,Dr.,Female,Yes,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,18-25,Second (Master),Neuroscience,Yes,1-2,Brazil,2,0,0,2,0,1,1,10-20,Dr.,Male,No,10-20,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Mechanical engineering,Yes,6-9,Belgium,2,2-5,0,1,0,2,2,5-10,Dr.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,46-55,Third (Ph.D. \ MD),Applied physics,Yes,10-20,Finland,5+,10+,2-5,3+,2,2,5+,10-20,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Mathematics,Never
Female,26-35,Third (Ph.D. \ MD),Chemistry,No,6-9,Greece,3,5-10,2-5,2,1,1,3,10-20,Prof.,Male,Yes,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,36-45,Third (Ph.D. \ MD),Informatics,Yes,10-20,United Kingdom,3,2-5,0,2,0,1,4,20-40,Dr.,Male,No,20-40,Male,No,,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,Genome science,Never
Male,36-45,Second (Master),Mathematics,Yes,10-20,United Kingdom,3,10+,1,1,0,2,1,40+,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Genome science,Never
Male,26-35,Third (Ph.D. \ MD),Basic medicine,No,3-5,Greece,5+,10+,0,2,1,3,5+,0-5,Dr.,Male,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Oncology,Rarely
Prefer not to say,36-45,Professor,Computer Science (CS),Yes,10-20,Norway,3,10+,2-5,1,0,3,5+,5-10,Dr.,Female,No,5-10,Female,No,Dr.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,36-45,Professor,Computer Science (CS),Yes,10-20,Israel,5+,10+,2-5,2,3+,1,5+,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,Economics,Never
Male,46-55,Professor,Dentistry,Yes,20+,Belgium,5+,10+,0,1,0,4,5+,10-20,Dr.,Male,No,10-20,Male,Yes,Prof.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,56-65,Professor,Basic medicine,No,20+,United States,4,10+,2-5,1,1,2,2,20-40,Prof.,Male,No,5-10,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Oncology,Never
Male,46-55,Professor,Computer Science (CS),Yes,20+,United Kingdom,1,10+,10+,1,1,2,5+,10-20,Dr.,Male,No,5-10,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Informatics,Never
Male,46-55,Third (Ph.D. \ MD),Oncology,No,6-9,Germany,5+,10+,0,I did a direct Ph.D.,0,1,4,10-20,Dr.,Male,Yes,5-10,Male,Yes,Dr.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Rarely
Female,36-45,Third (Ph.D. \ MD),Oncology,No,10-20,Italy,4,10+,2-5,I did a direct Ph.D.,3+,3,3,5-10,Dr.,Male,No,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,,Often
Male,36-45,Third (Ph.D. \ MD),Computer Science (CS),No,6-9,Israel,1,5-10,0,1,0,2,4,40+,Prof.,Male,No,0-5,Male,No,Dr.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Mathematics,Never
Male,46-55,Third (Ph.D. \ MD),Computer Science (CS),Yes,6-9,Israel,5+,10+,5-10,1,1,3,5+,20-40,Prof.,Male,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,When in the general scope of the work,Never,Never,Economics,Never
Male,36-45,Third (Ph.D. \ MD),Computer Science (CS),Yes,3-5,Tunisia,5+,5-10,1,2,0,1,4,20-40,Prof.,Male,Yes,5-10,Male,Yes,Prof.,No,No,Whenever I can,Whenever I can,Never,Never,Electrical and electronic engineering,Never
Female,46-55,Professor,Computer Science (CS),Yes,20+,United States,5+,10+,0,I did a direct Ph.D.,3+,1,5+,10-20,Prof.,Female,No,10-20,Female,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Psychology,Never
Male,26-35,Third (Ph.D. \ MD),Computer Science (CS),Yes,10-20,Netherlands,4,10+,5-10,1,1,1,5+,20-40,Dr.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Informatics,Never
Female,18-25,Second (Master),Computer Science (CS),No,1-2,Russian Federation,2,2-5,0,1,2,,,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,Linguistics,Often
Female,56-65,Professor,Computer Science (CS),Yes,20+,Brazil,2,10+,5-10,1,1,1,0,20-40,Prof.,Male,No,40+,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Rarely
Male,36-45,Third (Ph.D. \ MD),Genome science,Yes,10-20,Germany,3,10+,2-5,2,1,3,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Rarely
Female,26-35,Third (Ph.D. \ MD),Mathematics,Yes,6-9,Bulgaria,2,2-5,5-10,1,0,1,4,10-20,Dr.,Male,No,20-40,Female,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Chemistry,No,3-5,Austria,1,2-5,0,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Computer Science (CS),"FAANG, research scientist",3-5,United States,3,5-10,0,1,0,2,5+,20-40,Prof.,Male,No,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *gender* as I am",No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Female,36-45,Third (Ph.D. \ MD),Literature,Yes,10-20,Ukraine,2,2-5,10+,1,0,1,1,40+,Prof.,Female,No,20-40,Female,No,Prof.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,66+,Professor,Mechanical engineering,Yes,20+,Russian Federation,3,10+,10+,2,2,1,2,10-20,Prof.,Male,Yes,40+,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Female,46-55,Professor,Pharmacy,No,20+,China,3,10+,5-10,1,1,1,3,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,When in the general scope of the work,Only when absolutely relevant and warranted,Rarely,Rarely,Chemistry,Never
